公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
湖北熙沃德天网络科技有限公司,熙沃德天网络,少于15人,未融资,东湖新技术开发区,渗透工程师,不限,不限,5k-10k,项目奖，多次调薪，弹性工作
武汉掌中宝网络科技有限公司,武汉掌中宝,150-500人,未融资,武昌区,C++软件开发（楚河汉街）,3-5年,本科,15k-30k,"体检福利,五险,年终奖,氛围好"
上海日辉掌眼智能科技有限公司,日辉掌眼Xjera,15-50人,不需要融资,洪山区,C++ 工程师,1-3年,本科,8k-15k,"项目开发,软件监控,软件调优"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,江夏区,软件研发技术负责人（DEV）,5-10年,本科,20k-40k,"晋升空间大,大牛云集"
武汉鼎森电子科技有限公司,博看网,15-50人,未融资,江汉区,web前端开发,3-5年,本科,8k-15k,"国外游,高薪酬,购房补贴,长带薪年假"
湖北盛天网络技术股份有限公司,盛天网络,500-2000人,上市公司,东湖新技术开发区,Java大数据开发工程师,3-5年,本科,10k-20k,"平台,数据量,氛围"
北京旷视科技有限公司,Face++,500-2000人,C轮,洪山区,数据工程师,1-3年,本科,10k-20k,"弹性工作,大牛云集,定期团建,AI独角兽"
深圳市活力天汇科技股份有限公司,航班管家,500-2000人,C轮,武昌区,数据工程师,1-3年,本科,8k-15k,"交通便利,环境好,氛围好"
武汉海星通技术股份有限公司,武汉海星通技术股份有限公司,15-50人,不需要融资,洪山区,Java开发工程师,3-5年,本科,12k-15k,优秀团队 节日福利 带薪年假 五险一金
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,洪山区,NLP工程师,3-5年,本科,10k-20k,"领导nic,办公环境舒,各种团建"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,洪山区,前端开发Leader,不限,本科,30k-40k,六险一金，高薪期权，弹性工作，带薪休假
行吟信息科技（上海）有限公司,小红书,500-2000人,D轮及以上,东湖新技术开发区,后端开发工程师,3-5年,本科,15k-30k,"六险一金,年终多多,餐补"
万翼科技有限公司,万科,2000人以上,上市公司,东湖新技术开发区,高级测试工程师,3-5年,本科,12k-24k,"世界五百强,互联网变革,薪资福利佳,发展空间大"
武汉玖信普惠金融信息服务有限公司,玖融网,500-2000人,A轮,江汉区,Java工程师,3-5年,本科,8k-15k,"领导nic,晋升快,工作环境佳,下午茶"
艾能进咨询管理顾问有限公司,艾能进,15-50人,未融资,洪山区,资深后端工程师,3-5年,本科,25K-50K,公司好，福利好
武汉烽火普天信息技术有限公司,烽火普天,50-150人,A轮,东湖新技术开发区,数据治理工程师,1-3年,本科,8k-12k,"大牛带你飞,扁平管理,花样福利"
武汉今天梦想商贸有限公司,Today今天连锁便利,500-2000人,B轮,硚口区,DBA,3-5年,本科,15k-30k,"平台大,发展快,氛围好,新零售"
广东亿迅科技有限公司,广东亿迅,2000人以上,不需要融资,武昌区,测试工程师（2019应届生，武汉）,应届毕业生,本科,7k-10k,公司规模大
华砺智行（武汉）科技有限公司,华砺智行,15-50人,A轮,武汉经济技术开发区,交通算法工程师,1-3年,硕士,15k-20k,"五险一金,年终奖金,专业培训,团队活动"
湖北长江云新媒体集团有限公司,长江云新媒体集团,150-500人,未融资,武昌区,高级系统运维工程师,不限,不限,8k-15k,"系统运维,弹性工作"
特斯联（北京）科技有限公司,特斯联,150-500人,B轮,武昌区,运维工程师,3-5年,大专,8k-15k,"薪资,平台"
黑芝麻智能科技（上海）有限公司,黑芝麻科技,15-50人,B轮,洪山区,前端高级工程师,5-10年,本科,10k-20k,"技术前沿,晋升空间大"
武汉亘星智能技术有限公司,亘星智能,15-50人,未融资,江岸区,算法工程师,3-5年,硕士,12k-24k,大牛带你飞、双休、弹性8小时
